metric,value
test_PR_AUC_difference_integrated_minus_transaction_only,-0.0006242243315508489
test_F1_difference_integrated_minus_transaction_only,-0.0004284931399372721
test_recall_difference_integrated_minus_transaction_only,0.02081665332265814
test_precision_difference_integrated_minus_transaction_only,-0.001607868462138104
