metric,value
true_negatives,24338.0
false_positives,4413.0
false_negatives,883.0
true_positives,366.0
alert_rate,0.1593
fraud_capture_rate_recall,0.2930344275420336
precision_among_flagged_transactions,0.07658505963590709
