metric,transaction_only,integrated,integrated_minus_transaction_only
test_PR_AUC,0.0701928738206283,0.06950609922575768,-0.0006867745948706261
test_ROC_AUC,0.6340276979679114,0.6328490290406301,-0.0011786689272812456
test_precision,0.07658505963590709,0.07555646314069839,-0.0010285964952087001
test_recall,0.2930344275420336,0.2962369895916733,0.003202562049639701
test_F1,0.12143331121433311,0.12040351448096323,-0.0010297967333698782
