Model,Accuracy,Precision,Recall,F1,AUC-ROC,AUC-PR,Threshold,Time(s)
Logistic Regression,0.7780987511666149,0.07558261599832039,0.37894736842105264,0.12602835638018553,0.6300937067274934,0.06964080299562928,0.060000000000000005,1.38
Random Forest,0.8222745655748633,0.0768803774632251,0.29157894736842105,0.12167801449593675,0.6209516227113653,0.06444317571909898,0.14,3.14
1D-CNN (Ours),0.7486333940713746,0.0712463556851312,0.41157894736842104,0.12146629388008698,0.6347081219823723,0.07040374207126429,0.05,54.49
XGBoost,0.8204968668059197,0.07603623387318144,0.29157894736842105,0.12061833224472022,0.6347394552456962,0.06917213797506994,0.08000000000000002,0.89
MLP,0.7658326296609039,0.07093184979137691,0.3757894736842105,0.11933812468661206,0.6375405708368643,0.06627405881194195,0.05,81.49
